,cell,lon,lat,month,decend,sum,geometry
197,41,-51.375,-10.375,10,3,75.56446523136563,POINT (-5719038.83950443 -1161303.54632974)
198,42,-51.125,-10.375,9,1,9.572170734405518,POINT (-5691208.966806111 -1161303.54632974)
199,42,-51.125,-10.375,9,2,16.280847814348007,POINT (-5691208.966806111 -1161303.54632974)
200,42,-51.125,-10.375,9,3,26.140419430202908,POINT (-5691208.966806111 -1161303.54632974)
201,42,-51.125,-10.375,10,1,40.127822928958466,POINT (-5691208.966806111 -1161303.54632974)
202,42,-51.125,-10.375,10,2,48.40849198235406,POINT (-5691208.966806111 -1161303.54632974)
203,42,-51.125,-10.375,10,3,73.4260965983073,POINT (-5691208.966806111 -1161303.54632974)
204,43,-50.875,-10.375,9,1,9.169352955288357,POINT (-5663379.094107794 -1161303.54632974)
205,43,-50.875,-10.375,9,2,15.262532552083334,POINT (-5663379.094107794 -1161303.54632974)
206,43,-50.875,-10.375,9,3,25.415103488498264,POINT (-5663379.094107794 -1161303.54632974)
207,43,-50.875,-10.375,10,1,38.22329584757487,POINT (-5663379.094107794 -1161303.54632974)
208,43,-50.875,-10.375,10,2,47.20019679599338,POINT (-5663379.094107794 -1161303.54632974)
209,43,-50.875,-10.375,10,3,70.27093972100153,POINT (-5663379.094107794 -1161303.54632974)
210,44,-50.625,-10.375,9,1,8.877609411875406,POINT (-5635549.221409474 -1161303.54632974)
211,44,-50.625,-10.375,9,2,15.088126288519966,POINT (-5635549.221409474 -1161303.54632974)
212,44,-50.625,-10.375,9,3,24.66794384850396,POINT (-5635549.221409474 -1161303.54632974)
213,44,-50.625,-10.375,10,1,37.881419605678985,POINT (-5635549.221409474 -1161303.54632974)
214,44,-50.625,-10.375,10,2,47.92342631022135,POINT (-5635549.221409474 -1161303.54632974)
215,44,-50.625,-10.375,10,3,67.41012530856662,POINT (-5635549.221409474 -1161303.54632974)
216,45,-50.375,-10.375,9,1,8.828481409284803,POINT (-5607719.348711156 -1161303.54632974)
217,45,-50.375,-10.375,9,2,14.453507211473253,POINT (-5607719.348711156 -1161303.54632974)
218,45,-50.375,-10.375,9,3,23.997795316908096,POINT (-5607719.348711156 -1161303.54632974)
219,45,-50.375,-10.375,10,1,38.48618454403348,POINT (-5607719.348711156 -1161303.54632974)
220,45,-50.375,-10.375,10,2,47.75369389851888,POINT (-5607719.348711156 -1161303.54632974)
